"n°";"URL LinkedIn";"Accroche";"Likes";"Commentaires";"Corps du texte";"Lien de l'image";"Catégories";"Date"
"1";"https://www.linkedin.com/posts/arthur-de-lassus_message-%C3%A0-tous-mes-amis-%C3%A9colo-sur-la-clim-activity-7476186130619744257-MBVA";"Message à tous mes amis écolo sur la clim";"1005";"471";"Message à tous mes amis écolo sur la clim
Je me sens un peu seul.

Comme vous, j'étais plutôt contre la climatisation.
Comme vous, j'ai entendu parler des îlots de chaleur induits par leur utilisation.

J'ai vu que les +2-4°C dont on parle venaient d'une étude scientifique.
Je l'ai lu, relu, rerelu.
J'ai fouillé dans les recoins de ce papier.
Et j'ai complètement changé d'avis sur la question. 

Avec les vagues de chaleur futures, les parisiens vont connaître 15h de stress thermique en intérieur par jour de canicule.
1️⃣ Végétaliser 10% de la surface de Paris baisserait d'une minute cette durée. La végétalisation est géniale, indispensable en extérieur mais inutile pour la chaleur intérieure.
2️⃣ Isoler niveau A ou B du DPE baisserait d'1h40.
3️⃣ Irriguer ces parcs pour que la végétation évapotranspire et refroidisse nous ferait gagner 20 min (et ça consommerait le débit actuel de la Seine...)

Avec ces solutions on passe donc de 15h à 13h de stress thermique en intérieur.
Ce n'est pas acceptable. 
La climatisation est indispensable, probablement partout à terme.
Ça ne veut pas dire n'importe comment.
💥 Surtout qu'elle est réversible, qu'elle fait du chaud l'hiver et qu'on peut l'utiliser pour chasser le gaz du chauffage. 
❤️ Elle est une alliée dans la lutte contre le changement climatique !

Nous autres, les écolos, il faut changer de logiciel.
Quand je dis ça, au mieux, on me soutient du bout des lèvres.

C'est ce que j'ai essayé de dire sur France Inter en début de semaine.
Aidez-moi à faire changer les mentalités pour faire baisser la souffrance thermique.
On a tous le droit à la fraîcheur.";"Images/posts/7476186130619744257.jpg";"Clim & chaleur, Politique & débats";"2026-06-26"
"2";"https://www.linkedin.com/posts/arthur-de-lassus_jai-fait-8-plateaux-sur-lci-la-semaine-derni%C3%A8re-activity-7496093245173751809-a9xz";"J’ai fait 8 plateaux sur LCI la semaine dernière sur la sécheresse, mon métier d’agriculteur et les méga-bassines. Mes messages 👇";"716";"146";"J’ai fait 8 plateaux sur LCI la semaine dernière sur la sécheresse, mon métier d’agriculteur et les méga-bassines. Mes messages 👇

1️⃣ En tant que maraîcher, la saison est très compliquée.
Évidemment, le revenu sera en baisse. Nous vivions de notre travail avec ma femme, rien n’est moins sûr cette année.

Nous produisons moins, non pas parce que nous sommes mauvais techniquement, mais parce que l’humanité brûle trop d’énergies fossiles, détraque le climat et rend notre métier infernal.

2️⃣ Avec ces extrêmes météo (trop d’eau en hiver et pas assez en été), le stockage de l’eau paraît nécessaire et évident. 

Ce fut pour moi l’occasion de plonger dans le dossier des méga-bassines.
2️⃣.1️⃣ Je suis un ingénieur, j’apprécie les objets techniques. J’ai été assez vocal récemment sur l’opportunité que représente la climatisation pour la baisse des émissions et l’adaptation au réchauffement climatique.
En étudiant le fond du dossier des retenues de substitution, j'aimerais apporter 3 choses que je n'ai pas vu ailleurs.
2️⃣.2️⃣Trop peu. Un méga plan de méga-bassines représenterait 3 milliards de m3 d’eau stockée. Augmenter la fertilité des sols permettrait de stocker 10 milliards (c’est avec +2% d’humus, on peut aller au-delà). En fait, les méga-bassines sont plutôt des mini-bassines quand on regarde les ordres de grandeur nécessaires pour l’agriculture.
2️⃣.3️⃣Trop cher. Honnêtement, c’est l’argument massue que je n’ai pas vu développé. L’eau qui passe par une retenue de substitution coûte 0,5€/m3. C’est, en gros, 10 fois plus cher que l’eau d’un forage. Il faut rajouter 0,1€/m3 pour le système d’aspersion. 
La valeur économique créée par l’irrigation du maïs dans le Sud-Ouest tourne autour de 0,2-0,3€/m3 (étude avant impact du réchauffement climatique qui aggrave la situation).
👉Il y a un sens économique à irriguer avec un forage, ça paraît difficile via une bassine.
Ces chiffres expliquent pourquoi la profession demande de fortes subventions. Dans de nombreux cas, l’argent public pourrait probablement être mieux utilisé (émergence de nouvelles filières, recherche…).
2️⃣.4️⃣Trop simple. Les co-bénéfices avec les bassines existent (étiages plus hauts l’été et aide à la lutte contre les incendies) mais ils sont faibles quand on les compare aux co-bénéfices de la fertilité des sols (stockage carbone, qualité et infiltration de l’eau, biodiversité…).

Faisons un parallèle avec la clim.
👉 L’isolation a sa place, mais la réponse structurelle est la clim, car elle apporte beaucoup plus de fraîcheur en intérieur, pour moins cher et permet de décarboner le chauffage.
👉 Les méga-bassines ont leur place, mais la réponse structurelle est la fertilité des sols car elle apporte un potentiel de stockage d’eau plus important, pour moins cher tout en stockant du carbone.

Ecologie et technique donnent des réponses différentes en fonction des sujets !";"Images/posts/7496093245173751809.jpg";"Médias & vulgarisation, Agriculture & alimentation";"2026-08-20"
"3";"https://www.linkedin.com/posts/arthur-de-lassus_cocorico-premi%C3%A8re-mondiale-et-elle-est-activity-7353460750524260352-Dkqi";"💥 Cocorico, première mondiale et elle est française !";"586";"127";"💥 Cocorico, première mondiale et elle est française !
Mistral vient de publier son bilan carbone et vous allez être surpris (ou pas pour ceux qui connaissent la question).

Mistral est notre fleuron français/européen pour l'IA générative.
Un de nos rares espoirs de ne pas être (trop) vassalisé par les US sur cette question comme nous le sommes (encore) pour les GAFAM.

Ils ont pris l'option du challenger : proposer des modèles d'IA générative en open-source.

Ils continuent à tracer ce sillon de la transparence sur la partie environnementale.
Avec Carbone 4 et l'ADEME, ils publient le premier bilan environnementale de l'IA.
Bravo à eux.
Bravo aussi à l'ADEME pour son travail sur le numérique de qualité, malgré certains esprit grincheux.
Bravo à Carbone 4. Le travail de ce cabinet est aussi une caution, Jean-Marc Jancovici, cofondateur, est souvent caustique sur le sujet de l'IA.

L'impact marginale d'une réponse pour leur assistant IA Le Chat est de :
👉 1,14 gCO₂e 👈 

Donc si vous posez 10 question au Chat par jour sur un an, il y aura :
4,16kgCO2e d'émissions (source en commentaire).

Est-ce beaucoup ?

C'est autant que :
-21 km en voiture thermique seul
-1,3 litre de lait (moyenne mondiale)
-42g de steak (race à viande, moyenne mondiale)
-moins d'une journée de chauffage au gaz

Bref, pour le climat, choisis ton camp camarade !
Concentre tes efforts sur ce qui a un gros impact carbone (et l'usage de Mistral n'en fait pas trop partie).
Mets le paquet sur 
1️⃣ les produits animaux (végétaliser l'assiette et c'est super bon)
2️⃣ la voiture (voiture électrique quand on ne peut pas se passer de voiture, le thermique c'est tellement le Moyen-Âge)
3️⃣ chauffage (passage à la pompe à chaleur, ça marche super bien)
4️⃣ l'avion (pas trop d'alternative quand on est obligé de le prendre, à part payer la peau des fesses des carburants durables).

Un post Linkedin ne peut pas faire le tour de la question de l'impact environnemental de l'IA, évidemment. Je suis preneur de vos compléments en commentaires.

Je peux rajouter :
-il y a des chances que l'usage de Mistral soit plus vertueux que les autres IA (électricité décarbonée en France).
-il y a aussi la question de l'eau et de la consommation de matières. 
Si des personnes compétentes veulent apporter leur éclairage, je suis preneur.

Merci Mistral pour votre transparence !";"Images/posts/7353460750524260352.jpg";"Énergie, Société & post-croissance";"2025-07-22"
"4";"https://www.linkedin.com/posts/arthur-de-lassus_est-ce-quil-ny-aurait-pas-un-probl%C3%A8me-informationnel-activity-7330125088953888769-02G_";"Est-ce qu'il n'y aurait pas un problème informationnel dans le mouvement climat en France ?";"451";"141";"Est-ce qu'il n'y aurait pas un problème informationnel dans le mouvement climat en France ?

La Chine est, de loin, le plus gros émetteur de CO2.
Elle vient même de doubler l'UE en émissions cumulées de CO2.
C'est un béhémoth industriel qui tient une partie du futur climatique de notre civilisation entre ses mains.

Il y a 2 semaines, je partage un article publié dans Nature.
Il indique que la Chine a baissé ses émissions de CO2 en 2024 vs 2023.
Accueil mitigé et pas du tout à la hauteur d'une aussi bonne nouvelle.
https://lnkd.in/eyG-Z6X9

La semaine dernière, un autre data set indique que la Chine a passé très probablement son pic d'émissions de CO2 l'année dernière.
https://lnkd.in/ejqX3B2E
Échaudé, je ne publie rien.

Je m'attends à ce que les journaux en fassent des caisses.
Je m'attends à des publications de la part des gros comptes Linkedin.

Rien
Mais vraiment rien du tout
Sauf Arnaud CAYROL, merci ! Mais il a fallu que je scrolle beaucoup, à la recherche de cet unique post sur le sujet. Indice supplémentaire du peu d'appétence générale sur le sujet.

J'en parle autour de moi ce WE.
Tout le monde ouvre des grands yeux en entendant la nouvelle.

Comment un moment aussi historique n'est pas attendu et célébré par ceux qui suent sang et eau pour garder une planète habitable ?

On peut prendre plein de précautions en traitant cette nouvelle, montrer tout ce qui reste à faire (et en Chine, il y a tellement à dire) ET annoncer cette bonne nouvelle.

Que cette démarche soit absente me questionne vraiment beaucoup (et je serai heureux/curieux d'avoir votre avis sur le pourquoi).

De mon côté, c'est clair, je vais me focaliser sur ce qui avance vite et bien dans la transition. Car il y a manifestement un déficit énorme d'informations de ce côté en France.

Projet en cours d'incubation (...)
Likez, abonnez-vous si vous voulez en savoir plus dans les semaines qui viennent.";"Images/posts/7330125088953888769.jpg";"Politique & débats, Ordres de grandeur & mythes";"2025-05-19"
"5";"https://www.linkedin.com/posts/arthur-de-lassus_aujourdhui-on-f%C3%AAte-les-10-ans-de-la-plus-activity-7312379145110315009-XA6n";"Aujourd'hui on fête les 10 ans de la plus grande chaîne de vulgarisation climat en France : Le Reveilleur !";"387";"29";"Aujourd'hui on fête les 10 ans de la plus grande chaîne de vulgarisation climat en France : Le Reveilleur !

Plus de 200 000 abonnés sur Youtube, presque 10 000 000 vues cumulées, une centaine de vidéos, des vidéos qui dépassent souvent l'heure de visionnage. 

La chaîne de Rodolphe est unique en France.
Ces vidéos sont des références (voiture électrique, terres rares, hydrogène...)

Rodolphe Meyer est un phare pour moi dans la rigueur et la profondeur d'analyse du changement climatique et de la transition.

Cela fait aussi 10 ans que je creuse nuits et jours ce sujet et je n'ai encore jamais pu trouver une erreur dans ses vidéos. Et c'est peut-être le seul (j'ai tout de même réussi à trouver une coquille dans le dernier rapport du GIEC, coquille vite rectifiée) !

Il m'a profondément aidé à faire évoluer mon avis sur le rôle de différentes technologies, prendre du recul sur certains messages portés par M. Jancovici.

La qualité visuelle de son travail s'est drastiquement améliorée en une décennie.

Son engagement pour la cause environnementale est exemplaire.
Et je ne crois pas qu'il soit apprécié à sa juste valeur.
Sa parole mérite d'avoir tellement plus d'écho ! 

Je ne sais même pas s'il sait qu'il fête les 10 ans de sa chaîne, vous pouvez laisser un commentaire sous le post pour le remercier du travail immense qu'il a accompli.

Vraiment merci et bravo Rodolphe pour ce que tu as accompli !";"Images/posts/7312379145110315009.jpg";"Médias & vulgarisation, Société & post-croissance";"2025-03-31"
"6";"https://www.linkedin.com/posts/arthur-de-lassus_bon-pote-se-prend-malheureusement-les-pieds-activity-7473329451439910912-JeYx";"Bon Pote se prend malheureusement les pieds dans le tapis dans son article sur la clim !";"357";"108";"Bon Pote se prend malheureusement les pieds dans le tapis dans son article sur la clim !

Bon Pote vient de sortir un article demandé depuis 5 ans où ""les experts(s) sont interrogé(e)s"" et qui ""prend le temps de la réflexion"".

Un paragraphe s'intéresse au réseau électrique et se demande s'il va tenir avec une climatisation généralisée.
Il cite RTE ""les perspectives de diffusion accrue de la climatisation et le réchauffement climatique font apparaître de nouvelles interrogations sur les contraintes de sécurité d’approvisionnement lors des vagues de chaleur”.

Ça me fait tiquer, je connais bien ce rapport et je n'avais pas lu d'alerte particulière.
J'ouvre le PdF.
Je trouve effectivement la phrase p135.

Je continue à lire pour voir ce que RTE répond à ""ces nouvelles interrogations"" bien légitimes.

👉 2 paragraphes plus loin, sur la même page (!), on peut lire : ""ces analyses ne font pas apparaître de contraintes d’approvisionnement spécifiques aux vagues de chaleur."" 👈 

Aïe ! Ça fait mal !
Ça donne vraiment l'impression que Bon Pote part d'une idée et cherche tout ce qui va dans son sens sans vouloir se remettre trop en question.

Bon Pote, je supprime ce post quand vous aurez modifié cette partie.

Pour info, je sors un livre en novembre qui traitera des mythes qui circulent sur la transition énergétique. Et on peut dire qu'avec la clim, on est bien servi !";"Images/posts/7473329451439910912.jpg";"Clim & chaleur, Ordres de grandeur & mythes";"2026-06-18"
"7";"https://www.linkedin.com/posts/arthur-de-lassus_jai-rarement-%C3%A9t%C3%A9-aussi-heureux-davoir-eu-activity-7500973229793071104-ja8A";"J'ai rarement été aussi heureux d'avoir eu tord 👇";"48";"4";"J'ai rarement été aussi heureux d'avoir eu tord 👇 

EDIT : un connaisseur du sujet m'a fait remarquer des erreurs dans mon post. Ci-dessous la version corrigée.

Il y a quelques années, un ami, coucou Hugues Lebel, me parle de faire tourner des mines en Afrique au renouvelable.

Je lui dis (je m'en souviens comme si c'était hier) : c'est impossible et ça va être une horreur !

1️⃣ C'est possible, la preuve par l'exemple avec la mine de cuivre de Kamoa-Kakula en République Démocratique du Congo. Et ce n'est pas une petite mine : c'est la plus grande mine de cuivre d'Afrique, l'une des 5 plus grandes du monde, avec des milliers de travailleurs sur site.
C'est très rapide : environ 16 mois entre la signature du contrat d'achat d'électricité et la production commerciale.

2️⃣ ""Solar + battery is the new baseload !"" Soyons précis : la centrale solaire + batteries fournira 30 MW en électricité au site, avec une disponibilité quasi continue grâce au stockage. Le reste vient notamment de l'hydroélectricité du réseau (barrage d'Inga II - 50 MW) et, malheureusement encore, de groupes fuel, le réseau congolais étant loin de fournir assez d'électricité. Mais c'est précisément ça, le signal : même pour une charge industrielle importante et continue, solaire + batteries deviennent une brique crédible du ""baseload"" bas carbone.
Le nucléaire va être content de ne plus être tout seul dans ce club, et il lui souhaite la bienvenue !

3️⃣ Ce n'est pas une première — et c'est tant mieux ! D'autres mines l'ont fait avant : Fekola au Mali (30% solaire+batteries), Agnew en Australie (>50% renouvelable), Fortescue en Australie qui veut atteindre 0 CO2 en 2030... Kamoa-Kakula se distingue par la taille du site et l'ambition du stockage. Voir une activité nécessaire (le cuivre reste massivement utilisé, y compris pour la transition, même si l'aluminium peut le substituer dans de nombreux usages) se décarboner progressivement est réjouissant.

4️⃣ C'est bon pour la biodiversité. En décarbonant avec des renouvelables, on évite plus de dégâts causés par le changement climatique que l'on ne provoque d'impacts directs par ces projets. Je ferai un post détaillé là-dessus plus tard (ou vous attendez mon livre avec Alain Grandjean le 6 novembre).
Bref, il y a quelques années, je sous-estimais la puissance et la rapidité des renouvelables. Beaucoup en France sont encore dans ce cas. Je suis ravi de m'être trompé — et merci à celles et ceux qui me corrigent quand j'exagère dans l'autre sens, c'est comme ça qu'on avance. 🙏

👉 Vous pouvez liker ce post pour exposer votre entourage à cette bonne nouvelle et vous pouvez me suivre pour en savoir plus dans les jours et semaines à venir";"Images/posts/7500973229793071104.jpg";"Énergie";"2026-09-02"
"8";"https://www.linkedin.com/posts/arthur-de-lassus_quelques-nouvelles-%C3%A9nerg%C3%A9tiques-de-la-chine-activity-7500812217047482368-tbaq";"Quelques nouvelles énergétiques de la Chine qu'il est important d'avoir en tête.";"273";"103";"Quelques nouvelles énergétiques de la Chine qu'il est important d'avoir en tête.

1️⃣ Un symbole :
La capacité solaire chinoise (1 288 GW) dépasse désormais celle des centrales à charbon (1 285 GW).
Pour les ordres de grandeur, le GW est une unité de puissance électrique. On a, en France, 63 GW de nucléaire.
Pourquoi est-ce un symbole ? Parce que la capacité installée ne dit rien de la production effective. C'est la puissance maximale que l'installation peut délivrer, pas sa production. Il faut donc passer au 2️⃣.

2️⃣ La part du charbon dans l'électricité vient de passer sous les 50% !
Ça, c'est beaucoup plus significatif. La part du charbon ne fait que baisser, passer sous les 50 % est une étape importante.
Les renouvelables (et un peu le nucléaire+hydro) grignotent rapidement et sûrement la place de ""king coal"" dans l'Empire du milieu.

3️⃣ Une autre statistique importante :
La part des énergies décarbonées dans l'énergie totale (pas seulement l'électricité) vient de dépasser la moyenne mondiale.
💥 Le modèle mental ""énergie chinoise = crado"" ne tient plus.

4️⃣ Les 2 statistiques précédentes sont en pourcentage, il faut tenir compte que la consommation d'énergie totale augmente.
Les émissions chinoises sont stables (et à un niveau très élevé) depuis presque 2 ans, ce qui n'est pas un petit exploit !

5️⃣ La Chine possède les outils techniques pour faire baisser ses émissions rapidement (solaire/éolien, un peu le nucléaire, voitures électriques, TGV...).
Ce qui limite la rapidité du progrès c'est, notamment, l'inertie politico-sociale pour limiter la puissance de ""king coal"". Un travail titanesque est devant nous !

Pour aller plus loin, mon article détaillé sur la Chine est disponible en commentaire et suivez Lauri Myllyvirta (anglais).

Je sors, en novembre, avec Alain Grandjean, un livre sur les mythes de la transition énergétique (et la Chine en charrie beaucoup). Abonnez-vous pour avoir des exemples de mythes bien ancrés dans les semaines qui arrivent !";"Images/posts/7500812217047482368.jpg";"Énergie";"2026-09-02"
"9";"https://www.linkedin.com/posts/arthur-de-lassus_naomi-klein-est-pour-un-droit-%C3%A0-la-fra%C3%AEcheur-activity-7488494653625905154-a9BT";"Naomi Klein est pour un droit à la fraîcheur !";"41";"12";"Naomi Klein est pour un droit à la fraîcheur !
Mais son approche de la clim est différente

Naomi Klein est une figure altermondialiste et écologiste outre-atlantique. Elle pointe du doigt les défaillances du capitalisme et œuvre pour la justice climatique.

Elle promeut désormais le droit à la fraîcheur aux US et au Canada.
Son billet sur Substack (lien en commentaire) est intitulé :
""Everyone Has A Right To Cool...In This Heat""
Tout le monde a droit à la fraîcheur… dans cette chaleur.

Son think tank a produit un rapport sur le sujet suite au dôme de chaleur épouvantable qui s'était abattu sur l'Ouest du Canada (le fameux village de Lytton avec 50°C) en 2021.

1️⃣ Ce qui me marque dans ce rapport, c'est qu'il y a plein de photos de climatiseurs !
La nécessité de la clim n'est pas discutée chez ces écologistes US/canadiens épris de justice climatique.
Je me permets de rappeler qu'une isolation au meilleur standard et de la végétalisation abondante fera passer la durée de stress thermique en intérieur à Paris dans le futur de 15h à 13h par jour de canicule (Viguié, 2020, table 5). C'est largement insuffisant !
C'est la clim, et elle seule, qui peut baisser la durée de stress thermique à 0h. 

2️⃣ Comme la nécessité de la clim est établie, le rapport peut se concentrer sur d'autres choses qui font avancer le débat. 
-le problème d'avoir une température unique de consigne (26°C par exemple) alors qu'elle doit être adaptée aux différents publics 
-En Arizona, 75% des morts ont lieu dans des endroits climatisés (notamment car la clim coûte trop cher ou que les habitants n'en n'ont pas le contrôle). 

3️⃣ Le rapport rate néanmoins quelque chose.
La climatisation est réversible, c'est une possibilité de décarbonation !
Elle permet de lier adaptation et atténuation (baisse des émissions) en supprimant le chauffage aux gaz/fioul par un chauffage décarboné.

Ce rapport est une boule de fraîcheur dans cette 4ème canicule (lien en description).
La climatisation ne doit pas être un tabou.
C'est un objet technique, elle peut être une formidable opportunité pour lier adaptation et atténuation.

Militons pour un droit à la fraîcheur avec la clim comme pièce centrale du plan (et avec plein d'autres choses intelligentes autour, évidemment).";"Images/posts/7488494653625905154.jpg";"Clim & chaleur, Politique & débats";"2026-07-30"
"10";"https://www.linkedin.com/posts/arthur-de-lassus_il-y-a-vraiment-un-impens%C3%A9-dans-la-discussion-activity-7483447240250933248-_B4a";"Il y a vraiment un impensé dans la discussion sur la rénovation des bâtiments.";"60";"93";"Il y a vraiment un impensé dans la discussion sur la rénovation des bâtiments.
Cette tribune en est la preuve.

Acte 1 du drame :
Je publie une tribune dans Le monde (avec l'aide d'Alain Grandjean et Pierre Veltz) pour expliquer pourquoi la clim est nécessaire mais insuffisante.
Je suis en bonne compagnie dans l'édition papier avec Cédric PHILIBERT qui signe une tribune musclée sur la question de l'isolation.

Acte 2 du drame :
Le collectif ""Rénovons"" répond aujourd'hui par une tribune. Il répond surtout à Cédric mais je me sens un peu visé aussi 🫠.

👉 Où est l'impensé, le trou noir béant de la réflexion ?
Pas dans le fait que la pompe à chaleur (PAC) est isolation peuvent être complémentaires.
Pas dans le fait que l'isolation soit intéressante, techniquement parlant.
Pas dans le fait que l'isolation freine le froid, l'hiver et le chaud, l'été.
Pas dans le fait que l'isolation et les protections solaires sont complémentaires.
Pas dans le fait que la climatisation soit nécessaire quand les autres moyens sont insuffisants.
Tout le monde est d'accord là-dessus.

Mais alors il est où, cet impensé ?

Un mot est absent de toute la tribune
Un signe.
Une réalité.

Le coût, les €, la réalité économique.

Et c'est là où ça fait mal. Quelques exemples qui situent le débat.
1️⃣ Etude mono-geste SDES-INSEE : temps de retour sur investissement = 100 ans
2️⃣ Rénovation performante ANAH 2023 : TRI = 40 ans
3️⃣ Autres rénovations aidées ANAH 2023 : TRI = +- 40 ans
4️⃣ Et le bijou, la cerise sur le gâteau : rapport ""Perf in mind 1"" 2022 TRI = non calculé !

Un rapport coordonné par le gratin de la rénovation avec ""la performance à l'esprit"" où la performance économique n'est pas calculée...
J'en rigole encore.

Comme on dit par chez moi ""quand on n'a pas parlé argent, on a parlé de rien"" !

Cela ne veut pas dire qu'il ne faut pas isoler.
Cela ne veut pas dire que l'économie doit avoir le dernier mot.
Ni qu'on doit calculer bêtement.

Mais, une discussion sur la rénovation où le sigle € n'est pas mentionné 
👉🚮 🚮 🚮";"Images/posts/7483447240250933248.jpg";"Bâtiment & rénovation, Politique & débats";"2026-07-16"
